pa01               LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR.
pa09               EINWANDERER ZU ANPASSUNG VERPFLICHTEN?
id03               OBEN-UNTEN-SKALA: SELBSTEINSTUF., BEFR.
mp17               FLUECHTL. CHANCE O.RISIKO: SICHERHEIT
mp18               FLUECHTL. CHANCE O.RISIKO: ZUSAMMENLEBEN
fn01               BRAUCHT MAN FAMILIE ZUM GLUECK?
fn02               HEIRAT BEI DAUERNDEM ZUSAMMENLEBEN
fn03               GRUND FUER HEIRAT: KIND
lm01               HAEUFIGKEIT VON FERNSEHEN PRO WOCHE
lm02               FERNSEHGESAMTDAUER PRO TAG IN MINUTEN
lm24               HAEUFIGKEIT: INTERNET FUER POLITIKINFO
ls01               ALLGEMEINE LEBENSZUFRIEDENHEIT
hs01               GESUNDHEITSZUSTAND BEFR.
rd01               KONFESSION, BEFRAGTE(R)
va01               WICHTIGKEIT VON RUHE UND ORDNUNG
va04               WICHTIGKEIT V. FREIER MEINUNGSAEUSSERUNG
ingle              INGLEHART-INDEX
st01               VERTRAUEN ZU MITMENSCHEN
si03               ZEITAUFWAND FUER FREUNDE
lp04               BEI DIESER ZUKUNFT KEINE KINDER MEHR
sex                GESCHLECHT, BEFRAGTE(R)
yborn              GEBURTSJAHR: BEFRAGTE(R)
age                ALTER: BEFRAGTE(R)
german             DEUTSCHE STAATSANGEHOERIGKEIT?
educ               ALLGEMEINER SCHULABSCHLUSS
work               BEFRAGTE(R) BERUFSTAETIG?
eseg               BEFR.: SOZIO-OEKONOMISCHE GRUPPE (ESEG)
dw07               IM OEFFENTLICHEN DIENST TAETIG?
dw19               DAUER DER ARBEITSLOSIGKEIT IN WOCHEN
dw18               BERUFST.: ARBEITSLOS I.D. LETZTEN 10 J.?
dw20               NICHTBERUFST.:JEMALS ARBEITSLOS GEWESEN?
dw22               ARBEITSLOS:FRUEHER SCHON MAL ARBEITSLOS?
di01a              BEFR.: NETTOEINKOMMEN, OFFENE ABFRAGE
di02a              BEFR.: NETTOEINKOMMEN, LISTENABFRAGE
inc                BFR.:NETTOEINKOMMEN(OFFENE+LISTENANGABE)
incc               NETTOEINKOMMEN(OFFENE+LISTENANGABE),KAT.
hhincc             HAUSHALTSEINK.(OFFENE+LISTENANGABE),KAT.
di07               PRO-KOPF-EINKOMMEN
di07c              PRO-KOPF-EINKOMMEN, KATEGORISIERT
mstat              FAMILIENSTAND, BEFRAGTE(R)
scage              GEGENWAERTIGER EHEPARTNER: ALTER
dp01               HABEN SIE EINEN FESTEN LEBENSPARTNER?
dh04               ANZAHL DER HAUSHALTSPERSONEN
dh12               LEBENSFORM BEFRAGTE - KURZ
dh13               LEBENSFORM BEFRAGTE - FAMILIE
dh17               ALTER JUENGSTES HAUSHALTSMITGLIED
dk11               ANZAHL KINDER IM HAUSHALT
gs01               SELBSTBESCHREIBUNG DES WOHNORTS
aq01               BEFR.: TYP DER WOHNUNG
xh01               ART DES WOHNGEBAEUDES, BEFRAGTER
xh02               ZUSTAND DES WOHNGEBAEUDES, BEFRAGTER
xh04               EINSCHAETZUNG WOHNUMGEBUNG VOM BEFR.
xr14               ATTRAKTIVITAET DES BEFR., INTERVIEWSTART
xr27               INT.: SCHICHTEINSTUFUNG HAUSHALT, START
land               BUNDESLAND, IN DEM BEFRAGTE(R) WOHNT
gkpol              GROESSENKLASSE DER POLIT. GEMEINDE
